calories,protein,fat,carbohydrates
153.0,4.92,10.34,34.66
63.0,10.22,11.14,49.22
252.0,4.02,10.69,44.71
310.0,2.22,6.42,21.03
196.0,5.47,11.34,43.64
82.0,17.57,5.67,21.08
351.0,5.39,5.28,24.88
419.0,14.06,6.83,5.86
305.0,3.02,0.2,24.65
216.0,14.14,6.04,34.04
191.0,9.68,6.18,46.32
223.0,14.75,8.6,1.29
84.0,12.64,9.0,40.78
438.0,18.14,6.18,44.61
307.0,16.08,6.17,20.69
298.0,7.83,8.4,30.27
140.0,15.98,5.37,42.52
423.0,9.36,2.87,42.53
336.0,9.11,1.77,21.46
53.0,4.1,11.13,30.17
382.0,7.6,3.14,48.87
226.0,19.8,5.0,9.9
451.0,13.53,0.96,39.23
127.0,17.54,9.2,3.33
294.0,12.13,4.45,3.59
492.0,3.27,5.94,17.73
365.0,18.66,4.55,43.47
399.0,9.29,4.99,10.66
464.0,16.12,4.64,21.75
118.0,11.54,1.69,41.05
86.0,17.32,9.19,24.44
180.0,13.09,4.02,30.09
232.0,3.35,4.86,16.5
97.0,12.64,7.66,44.64
135.0,10.12,7.45,48.05
316.0,18.52,7.51,33.97
425.0,13.25,0.16,19.17
284.0,19.56,0.07,10.9
176.0,16.68,0.16,40.42
274.0,13.55,12.3,7.17
455.0,7.6,11.33,29.99
229.0,1.3,0.3,18.45
341.0,8.87,8.71,34.63
402.0,2.46,12.29,34.83
343.0,13.28,5.48,19.25
367.0,6.79,13.51,19.22
297.0,6.84,2.85,37.69
291.0,12.96,0.75,6.1
97.0,14.81,0.83,20.56
225.0,13.15,8.24,46.85
320.0,10.02,6.54,2.42
270.0,10.13,5.44,30.05
470.0,5.46,8.89,11.29
488.0,15.93,3.52,47.16
225.0,7.06,4.92,42.06
229.0,2.22,10.93,36.29
77.0,18.22,7.73,44.04
346.0,14.05,10.05,17.48
466.0,13.06,0.39,15.24
499.0,8.22,14.11,19.56
445.0,10.74,11.06,20.99
381.0,15.37,9.88,16.35
137.0,18.74,6.56,22.39
445.0,14.59,12.84,43.35
241.0,3.85,7.77,45.17
248.0,13.05,8.33,2.77
127.0,16.8,14.73,31.51
354.0,4.57,3.92,5.81
357.0,18.13,5.68,28.2
365.0,4.42,0.61,35.53
282.0,7.1,9.23,10.43
300.0,14.89,12.14,5.23
394.0,15.04,7.9,46.48
206.0,13.62,4.07,29.81
428.0,19.91,13.85,45.81
336.0,5.71,14.45,35.86
88.0,17.84,7.69,15.81
352.0,2.57,0.43,25.02
351.0,8.02,7.28,28.72
195.0,16.84,3.8,42.55
163.0,8.66,12.6,38.96
197.0,7.32,3.13,48.8
51.0,11.88,4.75,48.48
417.0,4.13,4.76,4.8
